Date,Open,High,Low,Close,Volume,Adj Close
1/2/90,64.625038,66.999962,60.75,62.25,22307900,2.475198
12/1/89,62.25,64.749962,61.625038,64.5,15624300,2.564663
11/1/89,55.374962,62.25,52.749962,62.000038,17576100,2.446939
10/2/89,56.874962,59.25,52.749962,55.374962,19546500,2.185469
9/1/89,57.375,58.5,54.75,56.499962,15176100,2.229869
8/1/89,58.5,59.124962,55.625038,57.624962,16202800,2.257727
7/3/89,51.875038,58.5,51.375,58.5,16086000,2.292011
6/1/89,54.624962,56.25,51.375,51.624962,18185600,2.022649
5/1/89,48.500038,54.999962,47.000042,54.624962,24066200,2.124269
4/3/89,44.625,49.250038,44.499958,48.875038,16441100,1.900664
3/1/89,45.624958,46.625042,43.749958,44.499958,16734200,1.730525
2/1/89,48.375,48.999962,45.125042,45.75,16406900,1.763191
1/3/89,44.625,48.500038,43.5,48.375,20552500,1.864358
12/1/88,45,46.625042,43.5,44.750042,16379200,1.724653
11/1/88,43.625042,45.75,42.125042,45,17501500,1.720644
10/3/88,43.374958,45.249958,42.624958,43.625042,14985300,1.668071
9/1/88,40.125,44.000042,39.375,43.374958,16521100,1.658508
8/1/88,42.500042,43.125,39,40.374958,14443700,1.531268
7/1/88,44.124958,44.750042,40.5,42.75,15590400,1.621344
6/1/88,42,44.499958,41.750042,43.875,18144200,1.664011
5/2/88,40.250042,42.249958,38.375042,42,16297200,1.579857
4/4/88,40.374958,42.875042,39,40.374958,21463800,1.51873
3/1/88,45.375,45.624958,39.999958,40.374958,19669000,1.51873
2/1/88,45.375,45.75,41.499958,45.500042,20511700,1.6982
1/4/88,44.625,47.874958,42.249958,45.125042,19834000,1.684204
12/1/87,42,47.375042,39,44.124958,23860400,1.646878
11/2/87,45.500042,47.750042,41.124958,42.375,24570800,1.568499
10/1/87,61.5,62.750038,38.750042,47.375042,38730000,1.753574
9/1/87,62.874962,63.375,57.249962,61.5,24490800,2.276406
8/3/87,58.250038,66.375,57.500038,62.499962,22797100,2.301204
7/1/87,54.375,59.499962,53.625,59.25,16970800,2.181543
6/1/87,52.749962,56.124962,51.249962,54.375,19416900,2.002049
5/1/87,103.125114,107.500076,50.750038,51.999962,24366800,1.902681
4/1/87,103.625038,112.874886,99.250076,103.5,30793800,1.893535
3/2/87,103.625038,111.624962,102,104.874962,24031500,1.91869
2/2/87,100.374962,104.25,96.499924,103.374962,27979700,1.879721
1/2/87,86.375038,103.999924,86.375038,100.249924,33549800,1.822897
12/1/86,82.000084,88.750084,81.499916,85.999916,26111800,1.563782
11/3/86,76.874878,83.874962,74.625122,82.999916,21041800,1.497844
10/1/86,72.250084,77.500084,70.625038,76.249916,16620800,1.376031
9/2/86,79.000084,79.750084,70.999916,71.874962,22211600,1.297079
8/1/86,73.125122,79.374962,71.375038,78.624962,14677300,1.407656
7/1/86,80.625122,82.5,71.25,73.000084,18524100,1.306951
6/2/86,79.999916,82.625038,79.000084,81,17964100,1.450177
5/1/86,77.874962,81.624962,75.125038,79.750084,17671000,1.417414
4/1/86,79.000084,82.5,71.500084,78.125038,18839700,1.388532
3/3/86,77.500084,79.374962,73.625038,78.499916,19285400,1.395194
2/3/86,71.124962,78.875038,70.999916,77.500084,17001200,1.377424
1/2/86,72,74.124962,66.499916,70.874878,14821200,1.25029
12/2/85,64.5,73.874878,64.374962,72.75,21066200,1.283369
11/1/85,57.624962,66.75,57.624962,65.625122,17505100,1.147447
10/1/85,57.499916,61.999916,56.25,57.624962,14024900,1.007565
9/3/85,61.125122,61.999916,56.749916,57.499916,14788500,1.005379
8/1/85,64.374962,64.5,59.749916,61.000084,9145900,1.056677
7/1/85,61.750084,64.249916,60.250084,64.125122,12827000,1.11081
6/3/85,61.000084,62.749916,59.124962,61.874878,14563200,1.07183
5/1/85,58.249916,61.750084,58.000084,60.624962,16553700,1.050179
4/1/85,58.999916,61.374962,58.374962,59.124962,12983700,1.014863
3/1/85,63.875038,64.874878,58.374962,59.124962,19220600,1.014863
2/1/85,62.749916,65.25,61.249916,63.624962,14300500,1.092104
1/2/85,56.375038,65.25,55.625038,63.875038,17978900,1.086955
12/3/84,55.374962,57.374878,52.999916,56.625122,11307800,0.963584
11/1/84,57.499916,58.874878,55.000084,55.374962,14618000,0.94231
10/1/84,55.249916,58.874878,53.25,57.499916,11354600,0.96888
9/4/84,56.25,59.375038,55.000084,55.750084,17738000,0.939395
8/1/84,52.5,59.375038,52.5,56.625122,16257300,0.945603
7/2/84,52.625038,52.999916,48.250084,52.5,13723300,0.876716
6/1/84,52.625038,54.499916,52.249916,52.625038,11091700,0.878804
5/1/84,55.750084,56.500084,50.500084,53.124962,12678400,0.878804
4/2/84,54.875038,56.25,51.250084,55.5,13241500,0.918092
3/1/84,51.374878,55.5,48.75,54.875038,14108600,0.907754
2/1/84,54.374878,55.999916,51,52.000084,17122200,0.851926
1/3/84,58.374962,58.999916,53.25,54.374878,12005600,0.890833
12/1/83,56.749916,58.874878,55.000084,58.625038,10841800,0.960464
11/1/83,51.875038,58.125122,51,57.125038,13462800,0.935889
10/3/83,52.5,56.124962,50.874962,51.75,12825600,0.840522
9/1/83,51,53.375038,49.000084,52.750084,11695800,0.856765
8/1/83,49.249916,51.250084,46.00008,51.125038,16676900,0.822912
7/1/83,55.000084,55.000084,49.000084,49.874878,13348200,0.802789
6/1/83,103.624802,105.124802,52.249916,55.000084,14953400,0.885285
5/2/83,110.625114,112.624802,103.249924,103.375198,14889300,0.824863
4/4/83,105,112.750076,102.749756,111.875038,12015600,0.892686
3/1/83,110.000168,111.250076,101.499832,105,13826000,0.837828
2/1/83,102.250076,109.5,99.250076,108.500168,16520300,0.859127
1/3/83,93.374878,103.5,90.749756,103.5,19143300,0.819534
12/1/82,92.250244,99.999832,91.125122,94.874878,13686900,0.751239
11/1/82,86.625122,94.249916,85.125122,92.49984,17102400,0.732433
10/1/82,75.99984,86.749916,74.625122,85.874878,19996100,0.673471
9/1/82,74.749916,79.375198,73.5,74.749916,18621000,0.586224
8/2/82,66.875038,75.875038,62.875202,75.250084,24078300,0.583642
7/1/82,63.624962,69.875038,62.875202,65.749916,13269400,0.509958
6/1/82,61.874878,64.249916,60,63.624962,12513800,0.493477
5/3/82,64.375198,66.250084,61.5,61.874878,10260200,0.473337
4/1/82,63.99984,66.374878,63,64.125122,9346200,0.490551
3/1/82,63.124798,63.99984,59.00016,63.374878,12762900,0.484811
2/1/82,61.874878,63.74976,58.874878,62.875202,11633600,0.474831
1/4/82,58.249916,62.625122,54.99984,62.49984,10810300,0.471996
12/1/81,60.250084,60.250084,57,57.374878,7593100,0.433293
11/2/81,54.99984,60.374878,54.99984,60.374878,9165800,0.449906
10/1/81,54.875038,57.74976,53.124962,54.250084,6666500,0.404265
9/1/81,55.874878,56.875202,51.124798,54.875038,11232600,0.408922
8/3/81,60.99984,61.375202,55.249916,55.874878,7117000,0.410287
7/1/81,61.874878,63.74976,59.124962,60.99984,8304600,0.44792
6/1/81,65.749916,66.875038,61.624798,61.874878,9308200,0.454345
5/1/81,65.625122,66.749756,62.25024,65.749916,9041500,0.476968
4/1/81,67.125122,69.875038,65.124962,65.625122,8392900,0.476063
3/2/81,66.124802,69.124802,65.00016,66.99984,10759400,0.486035
2/2/81,61.249916,67.750084,59.875202,66.749756,9935200,0.478779
1/2/81,61.375202,64.5,59.124962,61.249916,10732500,0.43933
12/1/80,60.99984,61.5,55.5,61.249916,7974700,0.43933
11/3/80,54.124798,63,54,61.874878,15087400,0.438286
10/1/80,52.624798,55.750084,51.50016,54.124798,9335100,0.383389
9/2/80,54.50016,55.874878,52.125122,52.624798,9625300,0.372764
8/1/80,56.124962,58.125122,54,54.50016,10418700,0.380647
7/1/80,51.50016,56.25024,51.124798,56.25024,7429000,0.39287
6/2/80,49.5,51.99984,44.625122,51.50016,9056400,0.359694
5/1/80,47.49984,50.25024,45.74976,49.5,7917700,0.345724
4/1/80,48.124798,48.74976,44.49984,47.49984,6328600,0.326713
3/3/80,50.25024,50.749916,44.00016,48.124798,9428800,0.331012
2/1/80,54.99984,56.375038,48.875038,50.25024,9404600,0.345631
1/2/80,50.625122,57.50016,47.875198,54.99984,10475100,0.372978
12/3/79,46.125122,51,45.74976,50.625122,7814600,0.343311
11/1/79,48.374878,48.624962,45,46.125122,6524300,0.312795
10/1/79,50.49984,52.249916,45.99984,48.374878,6527500,0.323193
9/4/79,53.25024,53.375038,50.124962,50.749916,6489000,0.33906
